[SMOKE TEST] RS(63,57) + BCH(63,57), total rate = 0.8186

--- Pure RS-BM (hard) ---
  Pure RS-BM (hard) @ 4.00 dB: FER=1.000e+00, BER=5.336e-02, avg_f2m=660, lat=382μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 4.50 dB: FER=1.000e+00, BER=4.749e-02, avg_f2m=661, lat=378μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 5.00 dB: FER=1.000e+00, BER=3.854e-02, avg_f2m=660, lat=379μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 5.50 dB: FER=9.800e-01, BER=2.988e-02, avg_f2m=659, lat=380μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 6.00 dB: FER=1.000e+00, BER=2.462e-02, avg_f2m=656, lat=381μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 6.50 dB: FER=9.500e-01, BER=2.304e-02, avg_f2m=660, lat=382μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 7.00 dB: FER=7.400e-01, BER=1.503e-02, avg_f2m=657, lat=383μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 7.50 dB: FER=4.600e-01, BER=8.099e-03, avg_f2m=635, lat=375μs, 100 frames, 0.1s
  Pure RS-BM (hard) @ 8.00 dB: FER=3.000e-01, BER=4.474e-03, avg_f2m=608, lat=361μs, 100 frames, 0.1s

--- Pure RS-LCC-BR (soft) ---
  Pure RS-LCC-BR (soft) @ 4.00 dB: FER=1.000e+00, BER=6.772e-02, avg_f2m=5451, lat=2622μs, 100 frames, 0.4s
  Pure RS-LCC-BR (soft) @ 4.50 dB: FER=1.000e+00, BER=6.257e-02, avg_f2m=5450, lat=2622μs, 100 frames, 0.4s
  Pure RS-LCC-BR (soft) @ 5.00 dB: FER=1.000e+00, BER=5.409e-02, avg_f2m=5464, lat=2581μs, 100 frames, 0.3s
  Pure RS-LCC-BR (soft) @ 5.50 dB: FER=9.800e-01, BER=4.482e-02, avg_f2m=5487, lat=2605μs, 100 frames, 0.4s
  Pure RS-LCC-BR (soft) @ 6.00 dB: FER=1.000e+00, BER=4.202e-02, avg_f2m=5448, lat=2601μs, 100 frames, 0.4s
  Pure RS-LCC-BR (soft) @ 6.50 dB: FER=9.400e-01, BER=3.658e-02, avg_f2m=5426, lat=2585μs, 100 frames, 0.4s
  Pure RS-LCC-BR (soft) @ 7.00 dB: FER=7.300e-01, BER=2.699e-02, avg_f2m=5393, lat=2592μs, 100 frames, 0.4s
  Pure RS-LCC-BR (soft) @ 7.50 dB: FER=4.700e-01, BER=1.409e-02, avg_f2m=5361, lat=2569μs, 100 frames, 0.4s
  Pure RS-LCC-BR (soft) @ 8.00 dB: FER=3.000e-01, BER=7.427e-03, avg_f2m=5279, lat=2545μs, 100 frames, 0.3s

--- Cascade A (LLOSD+LCC-BR) ---
